date,time,age,confirmed,deceased
2.03.2020,0,0,32,0
2.03.2020,0,10,169,0
2.03.2020,0,20,1235,0
2.03.2020,0,30,506,1
2.03.2020,0,40,633,1
2.03.2020,0,50,834,5
2.03.2020,0,60,530,6
2.03.2020,0,70,192,6
2.03.2020,0,80,81,3
3.03.2020,0,0,34,0
3.03.2020,0,10,204,0
3.03.2020,0,20,1417,0
3.03.2020,0,30,578,1
3.03.2020,0,40,713,1
3.03.2020,0,50,952,5
3.03.2020,0,60,597,7
3.03.2020,0,70,224,9
3.03.2020,0,80,93,5
4.03.2020,0,0,34,0
4.03.2020,0,10,233,0
4.03.2020,0,20,1575,0
4.03.2020,0,30,631,1
4.03.2020,0,40,790,1
4.03.2020,0,50,1051,5
4.03.2020,0,60,646,7
4.03.2020,0,70,260,12
4.03.2020,0,80,108,6
5.03.2020,0,0,38,0
5.03.2020,0,10,257,0
5.03.2020,0,20,1727,0
5.03.2020,0,30,659,1
5.03.2020,0,40,847,1
5.03.2020,0,50,1127,5
5.03.2020,0,60,699,8
5.03.2020,0,70,288,13
5.03.2020,0,80,124,7
6.03.2020,0,0,45,0
6.03.2020,0,10,292,0
6.03.2020,0,20,1877,0
6.03.2020,0,30,693,1
6.03.2020,0,40,889,1
6.03.2020,0,50,1217,5
6.03.2020,0,60,763,11
6.03.2020,0,70,340,14
6.03.2020,0,80,168,10
7.03.2020,0,0,52,0
7.03.2020,0,10,327,0
7.03.2020,0,20,2038,0
7.03.2020,0,30,727,1
7.03.2020,0,40,941,1
7.03.2020,0,50,1287,5
7.03.2020,0,60,830,11
7.03.2020,0,70,384,14
7.03.2020,0,80,191,12
8.03.2020,0,0,58,0
8.03.2020,0,10,360,0
8.03.2020,0,20,2133,0
8.03.2020,0,30,760,1
8.03.2020,0,40,975,1
8.03.2020,0,50,1349,5
8.03.2020,0,60,878,11
8.03.2020,0,70,409,18
8.03.2020,0,80,212,14
9.03.2020,0,0,66,0
9.03.2020,0,10,381,0
9.03.2020,0,20,2190,0
9.03.2020,0,30,779,1
9.03.2020,0,40,1005,1
9.03.2020,0,50,1391,5
9.03.2020,0,60,916,12
9.03.2020,0,70,438,18
9.03.2020,0,80,216,14
10.03.2020,0,0,67,0
10.03.2020,0,10,393,0
10.03.2020,0,20,2213,0
10.03.2020,0,30,789,1
10.03.2020,0,40,1030,1
10.03.2020,0,50,1416,5
10.03.2020,0,60,929,13
10.03.2020,0,70,454,19
10.03.2020,0,80,222,15
11.03.2020,0,0,75,0
11.03.2020,0,10,405,0
11.03.2020,0,20,2238,0
11.03.2020,0,30,804,1
11.03.2020,0,40,1082,1
11.03.2020,0,50,1472,6
11.03.2020,0,60,960,14
11.03.2020,0,70,483,21
11.03.2020,0,80,236,17
12.03.2020,0,0,76,0
12.03.2020,0,10,412,0
12.03.2020,0,20,2261,0
12.03.2020,0,30,812,1
12.03.2020,0,40,1101,1
12.03.2020,0,50,1495,6
12.03.2020,0,60,972,14
12.03.2020,0,70,497,24
12.03.2020,0,80,243,20
13.03.2020,0,0,77,0
13.03.2020,0,10,421,0
13.03.2020,0,20,2274,0
13.03.2020,0,30,823,1
13.03.2020,0,40,1117,1
13.03.2020,0,50,1523,6
13.03.2020,0,60,985,14
13.03.2020,0,70,506,24
13.03.2020,0,80,253,21
14.03.2020,0,0,81,0
14.03.2020,0,10,424,0
14.03.2020,0,20,2287,0
14.03.2020,0,30,833,1
14.03.2020,0,40,1133,1
14.03.2020,0,50,1551,6
14.03.2020,0,60,999,14
14.03.2020,0,70,515,27
14.03.2020,0,80,263,23
15.03.2020,0,0,83,0
15.03.2020,0,10,427,0
15.03.2020,0,20,2301,0
15.03.2020,0,30,842,1
15.03.2020,0,40,1141,1
15.03.2020,0,50,1568,6
15.03.2020,0,60,1012,14
15.03.2020,0,70,525,28
15.03.2020,0,80,263,25
16.03.2020,0,0,85,0
16.03.2020,0,10,432,0
16.03.2020,0,20,2313,0
16.03.2020,0,30,849,1
16.03.2020,0,40,1147,1
16.03.2020,0,50,1585,6
16.03.2020,0,60,1024,14
16.03.2020,0,70,531,28
16.03.2020,0,80,270,25
17.03.2020,0,0,86,0
17.03.2020,0,10,436,0
17.03.2020,0,20,2330,0
17.03.2020,0,30,856,1
17.03.2020,0,40,1164,1
17.03.2020,0,50,1602,6
17.03.2020,0,60,1033,16
17.03.2020,0,70,539,29
17.03.2020,0,80,274,28
18.03.2020,0,0,87,0
18.03.2020,0,10,438,0
18.03.2020,0,20,2342,0
